,Positive,ROI_past_ma10
0,0,
1,1,
2,1,
3,0,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,0.007593491042191608
11,1,0.011969840341386317
12,0,0.014560764080435114
13,1,0.00897452280415245
14,0,0.011272578267401528
15,1,0.009098388165601653
16,0,0.011696383581330178
17,0,0.007321914220370686
18,1,0.00618059662576893
19,1,0.010415749506644133
20,1,0.01194189163690354
21,0,0.015848552174095427
22,0,0.012388782952580953
23,0,0.011252897569375975
24,0,0.009700880592882082
25,0,0.008086999215320648
26,1,0.0057544360859961095
27,0,0.006009094317378969
28,1,0.00522398287840022
29,0,0.006725711959797277
30,1,0.004793188227804037
31,0,0.004861323150906799
32,1,0.003890527341497615
33,1,0.004567401972994007
34,1,0.00455553713371595
35,0,0.005437603939684201
36,1,0.0036006407939449
37,0,0.00583747851204467
38,0,0.004644750035001281
39,0,0.00447971594241169
40,0,0.0036523765091979327
41,1,0.0033810779691727183
42,0,0.0037507512071821483
43,0,0.003063360109486867
44,0,0.002780852180643676
45,0,0.00019826000471288513
46,0,-0.0008756259085400061
47,1,-0.0012417747697196972
48,0,-0.0010835187318053877
49,1,-0.0017219580324587195
50,0,-0.0012810816581363383
51,1,-0.0015150668631249125
52,1,-0.0003606665247682433
53,0,1.0351824161221612e-05
54,1,-0.00012755414348428865
55,1,7.699552504983457e-06
56,0,0.0001943848279638934
57,1,-9.229550186026114e-05
58,0,-3.694653963743472e-05
59,1,-0.0005508542169435643
60,0,-0.0001814329254291837
61,0,-0.0008474775855808287
62,1,-0.0014597113366078126
63,0,-0.001018608632887522
64,0,-0.0010203210781268594
65,1,-0.0011915456404276335
66,1,-0.0009727153718331039
67,0,-0.00031059298671869866
68,1,-0.0011846517471192628
69,0,-0.0011218076413097868
70,0,-0.0012420760949843246
71,0,-0.0013201949070176062
72,0,-0.0014862246483532768
73,0,-0.0016184080354633285
74,1,-0.0017545645359440696
75,1,-0.0012174281119210414
76,0,-0.0008920434085983877
77,0,-0.0009612933028004669
78,1,-0.0010715940314099017
79,0,-0.0005919053657169723
80,0,-0.0006582726430661107
81,1,-0.0009336027168983484
82,0,-0.0008679402879508631
83,0,-0.000986689745370364
84,1,-0.0011784764649915313
85,1,-0.0011456080958413724
86,0,-0.0010837752644436288
87,0,-0.0012576646722896505
88,0,-0.0013135265290691236
89,0,-0.0014220231249556078
90,0,-0.0014827256002520933
91,1,-0.0014843839015373174
92,0,-0.0013542079539261675
93,0,-0.0013877160728327739
94,0,-0.0015479251403670276
95,0,-0.002285635768180098
96,1,-0.0031243149145453258
97,1,-0.0026435849308232766
98,1,-0.002526048349896509
99,0,-0.002490611521440175
100,1,-0.0027991613336500716
101,1,-0.0020611897510925013
102,1,-0.0024451310573776934
103,0,-0.002745887033640613
104,0,-0.0016655027672580034
105,1,-0.0019844869392400505
106,0,-0.001959508878162179
107,1,-0.0024983834971288783
108,1,-0.00303274539614673
109,0,-0.0029751544635518946
110,1,-0.0038111861826834593
111,0,-0.004359324717645585
112,0,-0.004871053948811116
113,1,-0.004377698545846373
114,0,-0.004392689806672404
115,1,-0.004240326035115398
116,0,-0.0047469891832879795
117,0,-0.004438672388374926
118,0,-0.004560365974859677
119,1,-0.005429653286367921
120,1,-0.00579078487878911
121,0,-0.006388834037927721
122,0,-0.006074549097076095
123,0,-0.005946126499077369
124,1,-0.005713337111248695
125,0,-0.005333357422993929
126,1,-0.005150440129248614
127,1,-0.00515771400452716
128,0,-0.004756703903517059
129,1,-0.0053812398184788805
130,0,-0.0044622357534382295
131,1,-0.004573862063368167
132,1,-0.0037009369008352217
133,1,-0.003909988708282673
134,0,-0.0038757626649082873
135,0,-0.004327485282195371
136,0,-0.004260789350828792
137,0,-0.005142349538214224
138,1,-0.004780308626927644
139,0,-0.004264947685390742
140,0,-0.004139936966796224
141,1,-0.004138221031207793
142,0,-0.004325823982628186
143,1,-0.004072180060185503
144,0,-0.003702567122537994
145,0,-0.002623551864196435
146,1,-0.002209905684708567
147,1,-0.001777795922962576
148,1,-0.0016802299623531363
149,1,-0.0012549335014547874
150,0,-0.001436818774958058
151,1,-0.0015328775879902851
152,0,-0.0020640339886918175
153,1,-0.0029497486578825573
154,0,-0.0023807786370488317
155,0,-0.0025304883730889404
156,0,-0.0026865156629252425
157,1,-0.0027615907832735853
158,0,-0.002223768783805354
159,0,-0.0020606732513117243
160,0,-0.0023888971851717127
161,1,-0.002138300732141282
162,1,-0.001583841030648744
163,0,-0.0014131081126849505
164,1,-0.0014693733445010685
165,1,-0.0011394779133164145
166,0,-0.0012085217994981796
167,0,-0.0018286336526041535
168,1,-0.0013609797620835605
169,1,-0.0013683629476058245
170,0,-0.0011300998107634068
171,1,-0.0011910844903370353
172,1,-0.0010237858390436374
173,0,-0.0006623543960770266
174,1,-0.0005570424123433886
175,1,-0.00038854449247533015
176,1,-0.00039461151175984013
177,0,-0.00022931894461381642
178,1,-0.00031883160004839427
179,1,-0.00068570134219438
180,0,-0.0006077413831553956
181,1,-0.0005342231053167464
182,0,-7.927612141308563e-05
183,0,-0.00021434236118308373
184,1,-0.0001868653575726705
185,0,-4.8174873984667444e-05
186,0,-0.00027933320111771167
187,0,-0.0002757949859678395
188,0,-0.000476831680655824
189,1,-0.0004919066306423121
190,1,-0.0003512231857104255
191,1,-0.00018732102255255653
192,1,-9.524863126283208e-05
193,1,0.00022278304881244844
194,0,0.0016705621777391541
195,1,0.0018101969297831678
196,1,0.0027804261447390236
197,1,0.0023752462671453546
198,1,0.002448137904196828
199,0,0.0025034186326536667
200,0,0.0026902078934112994
201,1,0.0023709144069511802
202,1,0.0022411839076748393
203,1,0.002231113860615232
204,1,0.0026614766580549272
205,1,0.0033001486723151785
206,0,0.0033840850558368705
207,1,0.0034582480522168135
208,0,0.004134799525374516
209,0,0.003939013608518997
210,1,0.0041187048182693125
211,0,0.004486006410284652
212,1,0.0032397950934059698
213,1,0.0036708934384159907
214,0,0.003529322225769459
215,1,0.0034460695658481626
216,0,0.004783938046573785
217,1,0.004656851264878743
218,0,0.0057440962095214355
219,1,0.005280290423047178
220,1,0.005406374255036328
221,0,0.005367664608525019
222,1,0.0051666628436921715
223,1,0.005447987006685733
224,1,0.005826405862029429
225,1,0.006447482306830794
226,1,0.00685685521251517
227,1,0.0068579820432200745
228,0,0.007853331920260092
229,0,0.006768048650754843
230,1,0.006218799599631829
231,1,0.006306920560669234
232,0,0.006107841904567466
233,0,0.005440039068728152
234,0,0.005302956889911843
235,1,0.005131446244594908
236,1,0.005985438045718391
237,0,0.006822687751716865
238,1,0.006494522519497944
239,1,0.006239643883893114
240,1,0.006970381286800051
241,1,0.0077457361922543865
242,1,0.007802392774927152
243,1,0.0085019010169026
244,1,0.008248636728857629
245,0,0.008449338091930955
246,0,0.008246548756823664
247,1,0.007457047205445069
248,1,0.007510076135122537
249,0,0.008387607316446949
250,1,0.007330428654296229
251,0,0.00807015765588167
252,0,0.007514358367450801
253,0,0.008105674927625615
254,1,0.007266760303199718
255,1,0.007531591341998217
256,1,0.00777266897674595
257,1,0.008036210737084448
258,1,0.007750429202430368
259,0,0.008082073738568115
260,1,0.007906653439688912
261,0,0.008506358897311918
262,1,0.007925673183026205
263,1,0.007707399658154198
264,0,0.008259504662391799
265,1,0.0077370461831705595
266,1,0.008073577548484211
267,0,0.008372167057714066
268,0,0.00827863283908417
269,0,0.008207950592020325
270,1,0.007763496760813093
271,1,0.008142983607434021
272,1,0.008379733977453925
273,1,0.008812991986894518
274,0,0.009969395524398612
275,1,0.009312380468139075
276,0,0.009658199493214554
277,1,0.009073249326201427
278,1,0.009632703621203345
279,0,0.009899502617687718
280,1,0.009670861972730704
281,1,0.010407632181720443
282,0,0.010040033129516736
283,1,0.01004789978797061
284,1,0.010682085751014782
285,0,0.010805643545486653
286,1,0.010731079744729517
287,1,0.010938749967503549
288,1,0.011277668076268878
289,1,0.011555994228022339
290,1,0.01154585232910836
291,1,0.011453296299305275
292,0,0.011305874089611192
293,1,0.010781144913918034
294,1,0.009644715844917226
295,1,0.010530913986551696
296,0,0.010417025600209717
297,1,0.010236197146512036
298,1,0.010095583993498032
299,1,0.010126008202697427
300,1,0.010291633272397436
301,0,0.010485356499817326
302,0,0.00957067482173553
303,1,0.009526568310349617
304,0,0.009263610547505885
305,0,0.008829877322851497
306,1,0.008680350331151608
307,0,0.009794739018708446
308,0,0.008748310902476934
309,0,0.008851610413987441
310,1,0.008771870135472752
311,1,0.008409996003412768
312,0,0.009859679674196802
313,0,0.009495251891144484
314,0,0.009116686509658432
